8,29.90,Jade Edmistone,,,,AUS,,,,,,9/26/2004,,,,
9,29.96,Jade Edmistone,,,,AUS,,,,,,9/25/2004,,,,
9,29.96,Emma Igelstrom,,,,SWE,,,,,,4/4/2002,,,,
11,30.24,Emma Igelstrom,,,,SWE,,,,,,3/14/2002,,,,
12,30.31,Zoe Baker,,,,NZL,,,,,,1/27/2002,,,,
13,30.43,Emma Igelstrom,,,,SWE,,,,,,1/23/2002,,,,
14,30.47,Luo Xuejuan,,,,CHN,,,,,,1/19/2002,,,,
1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,6,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Women's 50 BR SCM,,,,,,,,,,,,,,,,
15,30.51,Zoe Baker,,,,NZL,,,,,,1/15/2002,,,,
16,30.53,Zoe Baker,,,,NZL,,,,,,1/4/2002,,,,
17,30.56,Emma Igelstrom,,,,SWE,,,,,,12/13/2001,,,,
17,30.56,Luo Xuejuan,,,,CHN,,,,,,12/3/2001,,,,
17,30.56,Wei Li,,,,CHN,,,,,,12/3/2001,,,,
20,30.60,Penelope Heyns,,,,RSA,,,,,,9/26/1999,,,,
21,30.77,Han Xue,,,,CHN,,,,,,2/2/1997,,,,
22,30.88,Han Xue,,,,CHN,,,,,,1/29/1997,,,,
23,30.98,Han Xue,,,,CHN,,,,,,1/11/1996,,,,
24,31.11,Han Xue,,,,CHN,,,,,,1/7/1996,,,,
,,,,,,,,,,,,,,,,
Men's 100 BR SCM,,,,,,,,,,,,,,,,
1,55.61,Cameron van der Burgh,,,,RSA,,FINA/ARENA Swimming World Cup ,,,,11/15/2009,,Berlin,,
,,,,,,,,2009,,,,,,,,
2,55.99,Cameron van der Burgh,,,,RSA,,,,,,8/9/2009,,,,
3,56.39,Cameron van der Burgh,,,,RSA,,,,,,8/8/2008,,,,
4,56.88,Cameron van der Burgh,,,,RSA,,,,,,11/9/2008,,,,
5,57.47,Ed Moses,,,,USA,,,,,,1/23/2002,,,,
6,57.66,Ed Moses,,,,USA,,,,,,3/24/2000,,,,
7,58.05,Ed Moses,,,,USA,,,,,,3/24/2000,,,,
8,58.51,Roman Sloudnov,,,,RUS,,,,,,3/17/2000,,,,
9,58.79,Fred Deburghgraeve,,,,BEL,,,,,,12/3/1998,,,,
10,59.02,Fred Deburghgraeve,,,,BEL,,,,,,2/17/1996,,,,
11,59.07,Phil Rogers,,,,AUS,,,,,,8/27/1993,,,,
,,,,,,,,,,,,,,,,
Women's 100 BR SCM,,,,,,,,,,,,,,,,
1,1:02.36,Ruta Meilutyte,,,,LTU,,2013 World Cup - Moscow,,,,10/12/2013,,Moscow,,
1,1:02.36,Alia Atkinson,,,,JAM,,2014 SCM World Champs ,,,,12/6/2014,,Doha,,
1,1:02.36,Alia Atkinson,,,,JAM,,2016 World Cup - Paris,,,,8/26/2016,,Paris-Chartres,,
4,1:02.70,Rebecca Soni,,,,USA,,Top Times (personal best),,,,12/19/2009,,Manchester,,
5,1:03.00,Leisel Jones,,,,AUS,,,,,,12/14/2009,,,,
6,1:03.72,Leisel Jones,,,,AUS,,,,,,4/26/2008,,,,
7,1:03.86,Leisel Jones,,,,AUS,,,,,,8/28/2006,,,,
8,1:04.12,Leisel Jones,,,,AUS,,,,,,8/27/2006,,,,
9,1:04.79,Tara Kirk,,,,USA,,,,,,3/19/2004,,,,
10,1:05.09,Leisel Jones,,,,AUS,,,,,,11/28/2003,,,,
11,1:05.11,Emma Igelstrom,,,,SWE,,,,,,3/16/2003,,,,
12,1:05.29,Emma Igelstrom,,,,SWE,,,,,,3/15/2005,,,,
13,1:05.38,Emma Igelstrom,,,,SWE,,,,,,4/6/2002,,,,
14,1:05.40,Penelope Heyns,,,,RSA,,,,,,9/26/1999,,,,
15,1:05.57,Penelope Heyns,,,,RSA,,,,,,9/5/1999,,,,
16,1:05.70,Samantha Riley,,,,AUS,,,,,,12/2/1995,,,,
17,1:06.58,Dai Guohong,,,,CHN,,,,,,12/4/1996,,,,
,,,,,,,,,,,,,,,,
Men's 200 BR SCM,,,,,,,,,,,,,,,,
1,2:00.16,Kirill Prigoda,,,,RUS,,2018 SCM World Champs,,,,12/13/2018,,Hangzhou,,
2,2:00.44,Marco Koch,,,,GER,,2016 German national short course ,,,,11/20/2016,,Berlin,,
,,,,,,,,championships,,,,,,,,
3,2:00.48,Daniel Gyurta,,,,HUN,,2014 World Cup - Dubai,,,,8/31/2014,,Dubai,,
4,2:00.67,Daniel Gyurta,,,,HUN,,2009 European SC Champs,,,,12/13/2009,,Istanbul,,
5,2:01.98,Christian Sprenger,,,,AUS,,,,,,8/10/2009,,,,
1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,7,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Men's 200 BR SCM,,,,,,,,,,,,,,,,
6,2:02.92,Ed Moses,,,,USA,,2004 US World Cup Berlin,,,,1/17/2004,,,,
7,2:03.17,Ed Moses,,,,USA,,,,,,1/26/2002,,,,
8,2:03.28,Ed Moses,,,,USA,,,,,,1/22/2002,,,,
9,2:04.37,Ed Moses,,,,USA,,,,,,1/18/2002,,,,
10,2:06.40,Ed Moses,,,,USA,,,,,,3/25/2000,,,,
11,2:07.59,Roman Sloudnov,,,,RUS,,,,,,3/19/2000,,,,
12,2:07.79,Andrei Korneev,,,,RUS,,,,,,3/28/1998,,,,
13,2:07.80,Phillip Rogers,,,,AUS,,,,,,8/28/1993,,,,
14,2:07.93,Nick Gillingham,,,,GBR,,,,,,10/20/1991,,,,
,,,,,,,,,,,,,,,,
Women's 200 BR SCM,,,,,,,,,,,,,,,,
1,2:14.57,Rebecca Soni,,,,USA,,Top Times (personal best),,,,12/18/2009,,Manchester,,
2,2:15.42,Leisel Jones,,,,AUS,,,,,,11/15/2009,,,,
3,2:16.83,Annamay Pierse,,,,CAN,,,,,,8/7/2009,,,,
4,2:17.53,Annamay Pierse,,,,CAN,,,,,,3/14/2009,,,,
5,2:17.75,Leisel Jones,,,,AUS,,,,,,11/29/2003,,,,
6,2:18.86,Qi Hui,,,,CHN,,,,,,12/2/2002,,,,
7,2:19.25,Qi Hui,,,,CHN,,,,,,1/28/2001,,,,
8,2:20.22,Masami Tanaka,,,,JPN,,,,,,4/2/1999,,,,
9,2:20.85,Samantha Riley,,,,AUS,,,,,,12/1/1995,,,,
10,2:21.99,Dai Guohong,,,,CHN,,,,,,12/3/1993,,,,
11,2:22.89,Dai Guohong,,,,CHN,,,,,,12/3/1993,,,,
,,,,,,,,,,,,,,,,
Men's 50 FL SCM,,,,,,,,,,,,,,,,
1,21.75,Nicholas Santos,,,,BRA,,2018 World Cup - Budapest,,,,10/6/2018,,Budapest,,
2,21.80,Steffen Deibler,,,,GER,,,,,,11/14/2009,,Berlin,,
