Rank,Time,Athlete,Country,Meet Name,Date,Location
28,4:00.11,Kurt Krumpholz,USA,,8/4/1972,Chicago
29,4:01.70,Brad Cooper,AUS,,2/12/1972,Brisbane
30,4:02.10,Thomas McBreen,USA,,8/25/1971,Houston
31,4:02.60,Gunnar Larsson,SWE,,9/7/1970,Barcelona
32,4:02.80,John Kinsella,USA,,8/20/1970,Los Angeles
33,4:04.00,Hans-Joachim,GER,,8/14/1969,Louisville
34,4:06.50,Ralph Hutton,CAN,,8/1/1968,Lincoln
35,4:07.70,Mark Spitz,USA,,6/23/1968,Haywood
36,4:08.20,Greg Charlton,USA,,8/28/1967,Tokyo
1/20/2020 7:18:32 AM,,,Highlighted Record ,,,6
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Men's 400 FR LCM,,,,,,
37,4:08.80,Mark Spitz,USA,,7/7/1967,Santa Clara
38,4:09.20,Alain Mosconi,FRA,,7/4/1967,Monaco
39,4:10.60,Alain Mosconi,FRA,,7/2/1967,Monaco
39,4:10.60,Mark Spitz,USA,,6/25/1967,Heywood
41,4:11.10,Frank Wiegand,GDR,,8/25/1966,Utrecht
42,4:11.60,Don Schollander,USA,,8/18/1966,Lincoln
43,4:11.80,John Nelson,USA,,8/18/1966,Lincoln
44,4:12.20,Don Schollander,USA,,10/15/1964,Tokyo
45,4:12.70,Don Schollander,USA,,7/31/1964,Los Altos
,,,,,,
Women's 400 FR LCM,,,,,,
1,3:56.46,Katie Ledecky,USA,2016 Olympic Games,8/7/2016,Rio
2,3:58.37,Katie Ledecky,USA,2014 Pan Pacific Championships,8/23/2014,Gold Coast
3,3:58.86,Katie Ledecky,USA,2014 Summer Nationals,8/9/2014,Irvine
4,3:59.15,Federica Pellegrini,ITA,2009 World Champs ,7/26/2009,Rome
5,4:00.41,Federica Pellegrini,ITA,,6/27/2009,Pescara
6,4:00.66,Joanne Jackson,GBR,2009 GBR CHAMPS,3/16/2009,Sheffield
7,4:01.53,Federica Pellegrini,ITA,2008 European Champs,3/18/2008,Eindhoven 
8,4:02.13,Laure Manaudou,FRA,2006 European Champs,7/31/2006,Budapest
9,4:03.03,Laure Manaudou,FRA,,5/12/2006,Tours
10,4:03.85,Janet Evans,USA,1988 Olympic Games,9/22/1988,Seoul
11,4:05.45,Janet Evans,USA,1987 Orlando Meet,12/20/1987,Orlando
12,4:06.28,Tracey Wickham,AUS,,8/24/1978,Berlin
13,4:07.66,Kim Linehan,USA,,8/2/1978,Woodlands
14,4:08.91,Petra Thumer,GDR,,8/17/1977,Jonkoping
15,4:09.89,Petra Thumer,GDR,,7/20/1976,Montreal
16,4:11.69,Barbara Krause,GDR,,6/3/1976,Berlin
17,4:14.76,Shirley Babashoff,USA,,6/20/1975,Long Beach
18,4:15.77,Shirley Babashoff,USA,,8/22/1974,Concord
19,4:17.33,Heather Harper,USA,,6/28/1974,Santa Clara
20,4:18.07,Keena Zorovich,USA,,3/22/1973,Louisville
21,4:19.04,Shane Gould,AUS,,8/30/1972,Munich
22,4:21.20,Shane Gould,AUS,,7/9/1971,Santa Clara
23,4:22.60,Karen Moras,AUS,,4/30/1971,London
24,4:24.30,Deborah Meyer,USA,,8/20/1970,Los Angeles
25,4:24.50,Deborah Meyer,USA,,8/25/1968,Los Angeles
26,4:26.70,Deborah Meyer,USA,,8/1/1968,Lincoln
27,4:29.00,Deborah Meyer,USA,,8/18/1967,Philadelphia
28,4:32.60,Deborah Meyer,USA,,7/27/1967,Winnipeg
29,4:36.40,Pamela Kruse,USA,,7/7/1967,Santa Clara
