Rank,Time,Athlete,,,,,Team,,Meet Name,,,,Date,,,,
,,,,,,,Code,,,,,,Date,,,,
4,1:52.31,Julia Smit,,,,,STAN,,2010 CA OB WOMENS PAC10 ,,,,,,,,
,,,,,,,,,SWIMMI,,,,2/24/2010,,,,
5,1:52.79,Julia Smit,,,,,STAN,,2009 NCAA DI Women's ,,,,3/19/2009,,,,
,,,,,,,,,Championships,,,,,,,,
,,,,,,,,,,,,,,,,,
Men's 200 IM SCY,,,,,,,,,,,,,,,,,
1,1:38.13,Caeleb Dressel,,,,,FLOR,,2018 SEC Swimming & Diving Cha,,,,2/15/2018,,,,
2,1:39.38,David Nolan,,,,,STAN,,2015 NCAA DI Mens ,,,,3/26/2015,,,,
3,1:40.07,David Nolan,,,,,STAN,,2015 MEN'S PAC12 SWIMMING/DIVI,,,,3/5/2015,,,,
1/28/2020 11:17:32 AM,,,,,,NCAA Division I Lists,,,,,,,,,,,
,,,,NCAA Division I Record Progressions,,,,,,,,,,Page,5,of,5
Rank,Time,Athlete,,,,,Team ,,Meet Name,,,,Swim,,,,
,,,,,,,Code,,,,,,Date,,,,
Men's 200 IM SCY,,,,,,,,,,,,,,,,,
4,1:40.49,Bradley Ally,,,,,FLOR,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
5,1:40.55,Ryan Lochte,,,,,,,2006 Men's NCAA Champs,,,,3/23/2006,,,,
,,,,,,,,,,,,,,,,,
Women's 400 IM SCY,,,,,,,,,,,,,,,,,
1,3:54.60,Ella Eastin,,,,,STAN,,2018 NCAA DI Womens Swim,,,,3/16/2018,,,,
2,3:56.53,Katie Ledecky,,,,,STAN,,2018 PAC-12 WOMEN'S SWIMMING &,,,,2/23/2018,,,,
3,3:56.54,Katinka Hosszu,,,,,USC,,2012 NCAA DI Women's ,,,,,,,,
,,,,,,,,,Championships,,,,3/16/2012,,,,
4,3:58.23,Julia Smit,,,,,STAN,,2010 CA OB WOMENS PAC10 ,,,,,,,,
,,,,,,,,,SWIMMI,,,,2/24/2010,,,,
,,,,,,,,,,,,,,,,,
Men's 400 IM SCY,,,,,,,,,,,,,,,,,
1,3:33.42,Chase Kalisz,,,,,UGA,,2017 NCAA DI Mens ,,,,3/24/2017,,,,
2,3:34.50,Chase Kalisz,,,,,UGA,,2014 NCAA Mens DI ,,,,3/27/2014,,,,
3,3:35.98,Tyler Clary,,,,,MICH,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
4,3:38.03,Tyler Clary,,,,,MICH,,Big Ten Men,,,,2/26/2009,,,,
,,,,,,,,,,,,,,,,,
